Time IMU (s),Pitch (deg),,Time depth (s),Depth (m)
0.023,-0.398,,0.237,-0.1319
0.294,-0.349,,0.473,-0.0466
0.565,-0.215,,0.710,-0.1319
0.836,-0.892,,0.946,-0.0892
1.107,-0.347,,1.183,-0.0892
1.378,-0.540,,1.419,-0.1319
1.650,-0.132,,1.656,-0.0892
1.921,-0.708,,1.892,-0.0892
2.192,-0.524,,2.129,-0.0892
2.463,-0.175,,2.365,-0.0892
2.734,-1.041,,2.602,-0.1785
3.005,-0.782,,2.838,-0.1358
3.276,-1.363,,3.075,-0.0892
3.547,-1.495,,3.311,-0.1358
3.819,-1.328,,3.548,-0.1785
4.090,-2.217,,3.784,-0.1358
4.361,-2.928,,4.021,-0.2212
4.632,-2.712,,4.257,-0.2212
4.903,-2.862,,4.494,-0.2638
5.174,-3.938,,4.730,-0.2638
5.445,-5.075,,4.967,-0.3531
5.716,-5.691,,5.203,-0.3531
5.988,-6.068,,5.440,-0.3958
6.259,-6.683,,5.676,-0.4423
6.530,-7.338,,5.913,-0.4850
6.801,-8.136,,6.149,-0.5277
7.072,-8.628,,6.386,-0.5742
7.343,-9.329,,6.622,-0.6169
7.614,-10.149,,6.859,-0.7062
7.885,-10.263,,7.095,-0.7488
8.157,-10.745,,7.332,-0.7915
8.428,-11.181,,7.568,-0.8342
8.699,-11.648,,7.805,-0.9234
8.970,-11.710,,8.041,-0.9661
9.241,-12.053,,8.278,-0.9661
9.512,-12.319,,8.514,-1.0127
9.783,-12.511,,8.751,-1.0980
10.054,-12.871,,8.987,-1.1446
10.326,-13.238,,9.224,-1.1873
10.597,-13.331,,9.460,-1.2300
10.868,-13.521,,9.697,-1.2765
11.139,-13.846,,9.933,-1.3619
11.410,-14.143,,10.170,-1.4046
11.681,-14.506,,10.406,-1.4511
11.952,-14.891,,10.643,-1.4938
12.223,-15.009,,10.879,-1.5365
12.495,-14.920,,11.116,-1.5830
12.766,-14.837,,11.352,-1.6257
13.037,-14.969,,11.589,-1.7150
13.308,-15.129,,11.825,-1.7150
13.579,-15.005,,12.062,-1.7576
13.850,-14.793,,12.298,-1.8003
14.121,-14.540,,12.535,-1.8896
14.392,-14.442,,12.771,-1.8896
14.664,-14.384,,13.008,-1.9322
14.935,-14.290,,13.244,-1.9322
15.206,-14.164,,13.481,-1.9322
15.477,-14.050,,13.717,-1.9788
15.748,-14.020,,13.954,-1.9788
16.019,-13.976,,14.190,-2.0215
16.290,-13.958,,14.427,-2.0215
16.562,-13.931,,14.663,-2.0642
16.833,-13.883,,14.900,-2.0642
17.104,-13.904,,15.136,-2.1107
17.375,-14.044,,15.373,-2.1534
17.646,-14.248,,15.609,-2.1534
17.917,-14.389,,15.846,-2.1534
18.188,-14.433,,16.082,-2.1961
18.459,-14.486,,16.319,-2.2388
18.731,-14.622,,16.555,-2.2853
19.002,-14.787,,16.792,-2.2853
19.273,-14.929,,17.028,-2.2853
19.544,-15.040,,17.265,-2.3280
19.815,-15.072,,17.501,-2.3707
20.086,-15.045,,17.738,-2.4599
20.357,-15.015,,17.974,-2.4172
20.628,-14.956,,18.211,-2.5026
20.900,-14.851,,18.447,-2.5026
21.171,-14.737,,18.684,-2.5492
21.442,-14.616,,18.920,-2.5918
21.713,-14.446,,19.157,-2.5918
21.984,-14.232,,19.393,-2.6345
22.255,-14.043,,19.630,-2.6345
22.526,-13.904,,19.866,-2.7238
22.797,-13.775,,20.103,-2.6811
23.069,-13.620,,20.339,-2.7664
23.340,-13.463,,20.576,-2.7664
23.611,-13.347,,20.812,-2.8130
23.882,-13.270,,21.049,-2.8557
24.153,-13.198,,21.285,-2.8557
24.424,-13.104,,21.522,-2.8557
24.695,-13.013,,21.758,-2.8984
24.966,-12.944,,21.995,-2.9449
25.238,-12.891,,22.231,-3.0303
25.509,-12.837,,22.468,-3.0303
25.780,-12.776,,22.704,-3.0303
26.051,-12.705,,22.941,-3.0303
26.322,-12.623,,23.177,-3.0768
26.593,-12.535,,23.414,-3.1622
26.864,-12.440,,23.650,-3.2049
27.135,-12.368,,23.887,-3.2049
27.407,-12.334,,24.123,-3.2514
27.678,-12.322,,24.360,-3.2941
27.949,-12.309,,24.596,-3.2941
28.220,-12.302,,24.833,-3.3368
28.491,-12.316,,25.069,-3.3834
28.762,-12.349,,25.306,-3.4260
29.033,-12.388,,25.542,-3.4260
29.304,-12.416,,25.779,-3.5153
29.576,-12.420,,26.015,-3.5153
29.847,-12.417,,26.252,-3.5580
30.118,-12.418,,26.488,-3.5580
30.389,-12.410,,26.725,-3.6006
30.660,-12.366,,26.961,-3.6472
30.931,-12.299,,27.198,-3.6472
31.202,-12.231,,27.434,-3.6472
31.473,-12.164,,27.671,-3.6899
31.745,-12.107,,27.907,-3.7326
32.016,-12.068,,28.144,-3.7326
32.287,-12.049,,28.380,-3.7791
32.558,-12.037,,28.617,-3.7791
32.829,-12.020,,28.853,-3.8218
33.100,-12.009,,29.090,-3.8218
33.371,-12.018,,29.326,-3.8645
33.642,-12.036,,29.563,-3.9110
33.914,-12.041,,29.799,-3.9110
34.185,-12.026,,30.036,-3.9537
34.456,-11.996,,30.272,-3.9537
34.727,-11.953,,30.509,-4.0430
34.998,-11.894,,30.745,-3.9964
35.269,-11.816,,30.982,-4.0856
35.540,-11.732,,31.218,-4.0856
35.812,-11.652,,31.455,-4.1283
36.083,-11.570,,31.691,-4.1749
36.354,-11.493,,31.928,-4.1749
36.625,-11.417,,32.164,-4.1749
36.896,-11.349,,32.401,-4.2176
37.167,-11.293,,32.637,-4.2602
37.438,-11.260,,32.874,-4.3068
37.709,-11.246,,33.110,-4.3495
37.981,-11.248,,33.347,-4.3922
38.252,-11.244,,33.583,-4.3922
38.523,-11.233,,33.820,-4.4348
38.794,-11.235,,34.056,-4.4814
39.065,-11.260,,34.293,-4.5668
39.336,-11.313,,34.529,-4.5241
39.607,-11.363,,34.766,-4.5668
39.878,-11.398,,35.002,-4.6133
40.150,-11.423,,35.239,-4.6133
40.421,-11.444,,35.475,-4.6987
40.692,-11.466,,35.712,-4.7452
40.963,-11.500,,35.948,-4.7452
41.234,-11.545,,36.185,-4.7879
41.505,-11.602,,36.421,-4.7879
41.776,-11.662,,36.658,-4.8306
42.047,-11.712,,36.894,-4.8306
42.319,-11.749,,37.131,-4.8772
42.590,-11.787,,37.367,-4.9198
42.861,-11.842,,37.604,-4.9198
43.132,-11.910,,37.840,-4.9625
43.403,-11.969,,38.077,-5.0091
43.674,-11.995,,38.313,-4.9625
43.945,-11.992,,38.550,-5.0091
44.216,-11.983,,38.786,-5.0518
44.488,-11.989,,39.023,-5.0944
44.759,-12.011,,39.259,-5.0944
45.030,-12.018,,39.496,-5.1837
45.301,-11.995,,39.732,-5.1837
45.572,-11.953,,39.969,-5.2264
45.843,-11.910,,40.205,-5.2729
46.114,-11.870,,40.442,-5.3156
46.385,-11.819,,40.678,-5.3156
46.657,-11.759,,40.915,-5.4048
46.928,-11.699,,41.151,-5.4048
47.199,-11.646,,41.388,-5.4475
47.470,-11.605,,41.624,-5.4902
47.741,-11.587,,41.861,-5.4902
48.012,-11.601,,42.097,-5.5368
48.283,-11.642,,42.334,-5.5794
