Time (s),Depth (m),Pitch (deg)
0.00,0.0000,0.0000
0.10,0.0000,0.0314
0.20,0.0000,0.0903
0.30,-0.0001,0.1758
0.40,-0.0002,0.2860
0.50,-0.0003,0.4154
0.60,-0.0004,0.5599
0.70,-0.0006,0.7183
0.80,-0.0009,0.8896
0.90,-0.0012,1.0721
1.00,-0.0016,1.2626
1.10,-0.0020,1.4578
1.20,-0.0026,1.6543
1.30,-0.0032,1.8489
1.40,-0.0039,2.0383
1.50,-0.0048,2.2193
1.60,-0.0057,2.3893
1.70,-0.0068,2.5457
1.80,-0.0080,2.6860
1.90,-0.0094,2.8079
2.00,-0.0108,2.9091
2.10,-0.0125,2.9872
2.20,-0.0143,3.0400
2.30,-0.0162,3.0659
2.40,-0.0184,3.0640
2.50,-0.0207,3.0333
2.60,-0.0232,2.9731
2.70,-0.0259,2.8830
2.80,-0.0288,2.7635
2.90,-0.0319,2.6155
3.00,-0.0353,2.4398
3.10,-0.0388,2.2374
3.20,-0.0426,2.0104
3.30,-0.0467,1.7610
3.40,-0.0510,1.4917
3.50,-0.0556,1.2050
3.60,-0.0604,0.9039
3.70,-0.0655,0.5922
3.80,-0.0709,0.2734
3.90,-0.0766,-0.0486
4.00,-0.0826,-0.3704
4.10,-0.0889,-0.6882
4.20,-0.0954,-0.9985
4.30,-0.1024,-1.2977
4.40,-0.1096,-1.5823
4.50,-0.1172,-1.8487
4.60,-0.1251,-2.0942
4.70,-0.1333,-2.3159
4.80,-0.1419,-2.5113
4.90,-0.1509,-2.6775
5.00,-0.1602,-2.8120
5.10,-0.1699,-2.9136
5.20,-0.1800,-2.9821
5.30,-0.1904,-3.0169
5.40,-0.2013,-3.0177
5.50,-0.2125,-2.9843
5.60,-0.2242,-2.9175
5.70,-0.2362,-2.8195
5.80,-0.2487,-2.6928
5.90,-0.2615,-2.5395
6.00,-0.2748,-2.3621
6.10,-0.2885,-2.1634
6.20,-0.3026,-1.9472
6.30,-0.3171,-1.7178
6.40,-0.3321,-1.4793
6.50,-0.3474,-1.2358
6.60,-0.3633,-0.9914
6.70,-0.3795,-0.7504
6.80,-0.3961,-0.5170
6.90,-0.4132,-0.2955
7.00,-0.4307,-0.0901
7.10,-0.4486,0.0949
7.20,-0.4669,0.2563
7.30,-0.4856,0.3910
7.40,-0.5047,0.4964
7.50,-0.5243,0.5695
7.60,-0.5442,0.6076
7.70,-0.5645,0.6087
7.80,-0.5852,0.5723
7.90,-0.6062,0.4979
8.00,-0.6276,0.3851
8.10,-0.6494,0.2333
8.20,-0.6715,0.0426
8.30,-0.6940,-0.1852
8.40,-0.7168,-0.4479
8.50,-0.7399,-0.7436
8.60,-0.7633,-1.0700
8.70,-0.7870,-1.4248
8.80,-0.8110,-1.8045
8.90,-0.8352,-2.2046
9.00,-0.8598,-2.6209
9.10,-0.8846,-3.0491
9.20,-0.9096,-3.4848
9.30,-0.9349,-3.9233
9.40,-0.9604,-4.3595
9.50,-0.9862,-4.7881
9.60,-1.0121,-5.2040
9.70,-1.0382,-5.6020
9.80,-1.0646,-5.9772
9.90,-1.0911,-6.3251
10.00,-1.1178,-6.6414
10.10,-1.1447,-6.9216
10.20,-1.1718,-7.1613
10.30,-1.1990,-7.3567
10.40,-1.2263,-7.5058
10.50,-1.2538,-7.6075
10.60,-1.2815,-7.6606
10.70,-1.3093,-7.6638
10.80,-1.3372,-7.6181
10.90,-1.3652,-7.5257
11.00,-1.3934,-7.3887
11.10,-1.4216,-7.2095
11.20,-1.4500,-6.9912
11.30,-1.4785,-6.7387
11.40,-1.5071,-6.4569
11.50,-1.5358,-6.1509
11.60,-1.5646,-5.8257
11.70,-1.5935,-5.4874
11.80,-1.6225,-5.1420
11.90,-1.6515,-4.7957
12.00,-1.6807,-4.4545
12.10,-1.7099,-4.1241
12.20,-1.7392,-3.8098
12.30,-1.7686,-3.5169
12.40,-1.7980,-3.2507
12.50,-1.8275,-3.0158
12.60,-1.8571,-2.8157
12.70,-1.8867,-2.6532
12.80,-1.9163,-2.5317
12.90,-1.9460,-2.4539
13.00,-1.9758,-2.4206
13.10,-2.0056,-2.4317
13.20,-2.0354,-2.4875
13.30,-2.0653,-2.5878
13.40,-2.0952,-2.7316
13.50,-2.1251,-2.9166
13.60,-2.1550,-3.1407
13.70,-2.1850,-3.4017
13.80,-2.2150,-3.6973
13.90,-2.2450,-4.0236
14.00,-2.2750,-4.3760
14.10,-2.3050,-4.7497
14.20,-2.3350,-5.1398
14.30,-2.3650,-5.5416
14.40,-2.3951,-5.9495
14.50,-2.4252,-6.3576
14.60,-2.4552,-6.7599
14.70,-2.4853,-7.1505
14.80,-2.5154,-7.5236
14.90,-2.5455,-7.8739
15.00,-2.5756,-8.1961
15.10,-2.6057,-8.4851
15.20,-2.6358,-8.7356
15.30,-2.6659,-8.9430
15.40,-2.6961,-9.1046
15.50,-2.7262,-9.2180
15.60,-2.7564,-9.2810
15.70,-2.7865,-9.2914
15.80,-2.8167,-9.2478
15.90,-2.8468,-9.1516
16.00,-2.8770,-9.0047
16.10,-2.9071,-8.8090
16.20,-2.9373,-8.5663
16.30,-2.9674,-8.2796
16.40,-2.9976,-7.9540
16.50,-3.0277,-7.5947
16.60,-3.0578,-7.2073
16.70,-3.0879,-6.7969
16.80,-3.1180,-6.3695
16.90,-3.1480,-5.9315
17.00,-3.1780,-5.4897
17.10,-3.2080,-5.0505
17.20,-3.2380,-4.6207
17.30,-3.2679,-4.2062
17.40,-3.2978,-3.8125
17.50,-3.3277,-3.4452
17.60,-3.3575,-3.1096
17.70,-3.3873,-2.8112
17.80,-3.4171,-2.5538
17.90,-3.4468,-2.3403
18.00,-3.4765,-2.1733
18.10,-3.5062,-2.0557
18.20,-3.5358,-1.9901
18.30,-3.5654,-1.9769
18.40,-3.5950,-2.0159
18.50,-3.6246,-2.1064
18.60,-3.6541,-2.2480
18.70,-3.6837,-2.4400
18.80,-3.7132,-2.6795
18.90,-3.7427,-2.9630
19.00,-3.7722,-3.2869
19.10,-3.8017,-3.6477
19.20,-3.8311,-4.0415
19.30,-3.8606,-4.4626
19.40,-3.8901,-4.9052
19.50,-3.9196,-5.3632
19.60,-3.9491,-5.8306
19.70,-3.9786,-6.3012
19.80,-4.0081,-6.7684
19.90,-4.0376,-7.2253
20.00,-4.0671,-7.6651
20.10,-4.0966,-8.0811
20.20,-4.1262,-8.4667
20.30,-4.1557,-8.8162
20.40,-4.1852,-9.1238
20.50,-4.2148,-9.3839
20.60,-4.2443,-9.5908
20.70,-4.2739,-9.7400
20.80,-4.3035,-9.8298
20.90,-4.3330,-9.8585
21.00,-4.3626,-9.8246
21.10,-4.3922,-9.7278
21.20,-4.4217,-9.5706
21.30,-4.4513,-9.3556
21.40,-4.4808,-9.0855
21.50,-4.5103,-8.7641
21.60,-4.5398,-8.3973
21.70,-4.5692,-7.9914
21.80,-4.5987,-7.5524
21.90,-4.6280,-7.0870
22.00,-4.6574,-6.6028
22.10,-4.6867,-6.1074
22.20,-4.7160,-5.6083
22.30,-4.7452,-5.1129
22.40,-4.7744,-4.6283
22.50,-4.8035,-4.1614
22.60,-4.8326,-3.7192
22.70,-4.8617,-3.3080
22.80,-4.8907,-2.9327
22.90,-4.9196,-2.5981
23.00,-4.9485,-2.3092
23.10,-4.9774,-2.0698
23.20,-5.0062,-1.8824
23.30,-5.0350,-1.7490
23.40,-5.0637,-1.6718
23.50,-5.0924,-1.6521
23.60,-5.1211,-1.6895
23.70,-5.1497,-1.7832
23.80,-5.1784,-1.9326
23.90,-5.2070,-2.1363
24.00,-5.2356,-2.3912
24.10,-5.2641,-2.6940
24.20,-5.2927,-3.0414
24.30,-5.3212,-3.4294
24.40,-5.3498,-3.8526
24.50,-5.3783,-4.3054
24.60,-5.4069,-4.7822
24.70,-5.4354,-5.2770
24.80,-5.4640,-5.7824
24.90,-5.4925,-6.2912
25.00,-5.5211,-6.7958
25.10,-5.5497,-7.2890
25.20,-5.5782,-7.7639
25.30,-5.6068,-8.2137
25.40,-5.6354,-8.6315
25.50,-5.6641,-9.0105
25.60,-5.6927,-9.3445
25.70,-5.7213,-9.6286
25.80,-5.7500,-9.8575
25.90,-5.7786,-10.0263
26.00,-5.8073,-10.1301
26.10,-5.8359,-10.1672
26.20,-5.8646,-10.1375
26.30,-5.8932,-10.0412
26.40,-5.9219,-9.8785
26.50,-5.9505,-9.6526
26.60,-5.9791,-9.3677
26.70,-6.0077,-9.0282
26.80,-6.0363,-8.6387
26.90,-6.0648,-8.2060
27.00,-6.0933,-7.7376
27.10,-6.1217,-7.2409
27.20,-6.1501,-6.7237
27.30,-6.1784,-6.1938
27.40,-6.2067,-5.6597
27.50,-6.2349,-5.1294
27.60,-6.2631,-4.6110
27.70,-6.2912,-4.1116
27.80,-6.3192,-3.6380
27.90,-6.3472,-3.1973
28.00,-6.3751,-2.7956
28.10,-6.4030,-2.4375
28.20,-6.4308,-2.1274
28.30,-6.4586,-1.8694
28.40,-6.4863,-1.6672
28.50,-6.5139,-1.5224
28.60,-6.5415,-1.4365
28.70,-6.5691,-1.4112
28.80,-6.5966,-1.4472
28.90,-6.6241,-1.5435
29.00,-6.6516,-1.6985
29.10,-6.6791,-1.9108
29.20,-6.7065,-2.1784
29.30,-6.7339,-2.4975
29.40,-6.7614,-2.8638
29.50,-6.7888,-3.2732
29.60,-6.8162,-3.7211
29.70,-6.8435,-4.2015
29.80,-6.8709,-4.7076
29.90,-6.8983,-5.2330
30.00,-6.9257,-5.7708
30.10,-6.9532,-6.3135
30.20,-6.9806,-6.8531
30.30,-7.0081,-7.3815
30.40,-7.0355,-7.8909
30.50,-7.0630,-8.3736
30.60,-7.0905,-8.8225
30.70,-7.1181,-9.2303
30.80,-7.1456,-9.5897
30.90,-7.1732,-9.8939
31.00,-7.2008,-10.1381
31.10,-7.2284,-10.3181
31.20,-7.2561,-10.4298
31.30,-7.2837,-10.4699
31.40,-7.3114,-10.4384
31.50,-7.3391,-10.3361
31.60,-7.3667,-10.1636
31.70,-7.3944,-9.9229
31.80,-7.4220,-9.6190
31.90,-7.4496,-9.2572
32.00,-7.4771,-8.8430
32.10,-7.5047,-8.3829
32.20,-7.5321,-7.8850
32.30,-7.5596,-7.3574
32.40,-7.5869,-6.8087
32.50,-7.6142,-6.2471
32.60,-7.6414,-5.6814
32.70,-7.6686,-5.1201
32.80,-7.6956,-4.5720
32.90,-7.7226,-4.0446
33.00,-7.7495,-3.5451
33.10,-7.7764,-3.0804
33.20,-7.8031,-2.6575
33.30,-7.8298,-2.2812
33.40,-7.8564,-1.9559
33.50,-7.8829,-1.6855
