Time IMU (s),Pitch (deg),Yaw (deg),Roll (deg),,Time depth (s),Depth (m)
0.021,-0.113,0.267,-0.447,,0.237,-0.0744
0.271,-0.723,0.049,-0.411,,0.473,-0.0744
0.521,-0.456,-0.100,-0.305,,0.710,-0.0876
0.771,0.003,-0.202,-0.200,,0.946,-0.0876
1.021,-0.701,-0.290,-0.107,,1.183,-0.0612
1.271,-0.807,-0.400,-0.040,,1.419,-0.0876
1.521,-1.108,-0.461,0.004,,1.656,-0.1284
1.771,-0.969,-0.465,0.033,,1.892,-0.1692
2.021,-1.420,-0.422,0.037,,2.129,-0.2100
2.271,-1.597,-0.299,-0.010,,2.365,-0.2508
2.521,-1.976,-0.182,-0.060,,2.602,-0.3048
2.771,-2.345,-0.097,-0.057,,2.838,-0.3456
3.021,-2.754,-0.018,-0.006,,3.075,-0.3996
3.271,-2.587,0.077,0.023,,3.311,-0.4548
3.521,-2.830,0.175,-0.007,,3.548,-0.5088
3.771,-3.369,0.206,0.000,,3.784,-0.5352
4.021,-3.655,0.209,0.056,,4.021,-0.5628
4.271,-3.617,0.175,0.134,,4.257,-0.5628
4.521,-3.598,0.147,0.269,,4.494,-0.6036
4.771,-3.904,0.114,0.393,,4.730,-0.6444
5.021,-4.625,0.039,0.492,,4.967,-0.6852
5.271,-5.587,-0.060,0.583,,5.203,-0.7116
5.521,-5.148,-0.180,0.685,,5.440,-0.7524
5.771,-4.859,-0.327,0.786,,5.676,-0.7932
6.021,-5.684,-0.540,0.873,,5.913,-0.8208
6.271,-6.223,-0.730,0.954,,6.149,-0.8472
6.521,-5.959,-0.940,1.072,,6.386,-0.9024
6.771,-6.059,-1.158,1.178,,6.622,-0.9288
7.021,-6.784,-1.356,1.270,,6.859,-1.0104
7.271,-7.277,-1.576,1.367,,7.095,-1.0380
7.521,-8.069,-1.755,1.426,,7.332,-1.0788
7.771,-8.295,-1.913,1.439,,7.568,-1.1196
8.021,-8.898,-2.078,1.440,,7.805,-1.1604
8.271,-9.152,-2.215,1.438,,8.041,-1.2144
8.521,-10.063,-2.351,1.449,,8.278,-1.2408
8.771,-10.398,-2.530,1.486,,8.514,-1.2552
9.021,-10.769,-2.693,1.524,,8.751,-1.2960
9.271,-10.856,-2.829,1.540,,8.987,-1.3356
9.521,-10.932,-2.939,1.565,,9.224,-1.3764
9.771,-11.624,-3.022,1.615,,9.460,-1.4316
10.021,-12.134,-3.068,1.683,,9.697,-1.4856
10.271,-12.371,-3.166,1.758,,9.933,-1.5672
10.521,-12.795,-3.228,1.840,,10.170,-1.6344
10.771,-13.224,-3.261,1.917,,10.406,-1.6752
11.021,-13.748,-3.261,1.967,,10.643,-1.7160
11.271,-13.942,-3.276,1.980,,10.879,-1.7436
11.521,-13.914,-3.313,1.996,,11.116,-1.7568
11.771,-14.326,-3.329,2.050,,11.352,-1.7844
12.021,-14.457,-3.356,2.092,,11.589,-1.7976
12.271,-14.516,-3.386,2.074,,11.825,-1.8108
12.521,-14.409,-3.382,1.999,,12.062,-1.8384
12.771,-14.334,-3.331,1.933,,12.298,-1.8792
13.021,-14.247,-3.341,1.938,,12.535,-1.9056
13.271,-14.144,-3.290,2.008,,12.771,-1.9200
13.521,-13.851,-3.285,2.111,,13.008,-1.9608
13.771,-13.613,-3.296,2.216,,13.244,-2.0004
14.021,-13.461,-3.326,2.285,,13.481,-2.0412
14.271,-13.366,-3.382,2.299,,13.717,-2.0964
14.521,-13.173,-3.438,2.278,,13.954,-2.1372
14.771,-12.912,-3.477,2.258,,14.190,-2.1912
15.021,-12.762,-3.545,2.235,,14.427,-2.2176
15.271,-12.812,-3.615,2.212,,14.663,-2.2860
15.521,-12.806,-3.682,2.220,,14.900,-2.3400
15.771,-12.621,-3.716,2.246,,15.136,-2.3808
16.021,-12.392,-3.774,2.288,,15.373,-2.4216
16.271,-12.339,-3.847,2.325,,15.609,-2.4624
16.521,-12.483,-3.941,2.346,,15.846,-2.4756
16.771,-12.554,-4.026,2.362,,16.082,-2.4888
17.021,-12.443,-4.140,2.384,,16.319,-2.5164
17.271,-12.367,-4.253,2.388,,16.555,-2.5296
17.521,-12.390,-4.375,2.380,,16.792,-2.5572
17.771,-12.393,-4.495,2.381,,17.028,-2.5704
18.021,-12.336,-4.620,2.369,,17.265,-2.5980
18.271,-12.251,-4.759,2.351,,17.501,-2.6256
18.521,-12.136,-4.895,2.339,,17.738,-2.6652
18.771,-11.998,-5.041,2.346,,17.974,-2.7204
19.021,-11.871,-5.172,2.358,,18.211,-2.7612
19.271,-11.735,-5.279,2.361,,18.447,-2.8284
19.521,-11.608,-5.399,2.360,,18.684,-2.8824
19.771,-11.544,-5.521,2.362,,18.920,-2.9508
20.021,-11.515,-5.645,2.362,,19.157,-2.9916
20.271,-11.423,-5.766,2.356,,19.393,-3.0588
20.521,-11.266,-5.926,2.362,,19.630,-3.1272
20.771,-11.145,-6.027,2.365,,19.866,-3.1812
21.021,-11.117,-6.109,2.352,,20.103,-3.2496
21.271,-11.115,-6.210,2.361,,20.339,-3.3168
21.521,-11.050,-6.326,2.371,,20.576,-3.3576
21.771,-10.936,-6.485,2.362,,20.812,-3.4392
22.021,-10.864,-6.639,2.340,,21.049,-3.4932
22.271,-10.872,-6.709,2.334,,21.285,-3.5472
22.521,-10.884,-6.794,2.356,,21.522,-3.5880
22.771,-10.830,-6.926,2.400,,21.758,-3.6564
23.021,-10.755,-7.086,2.428,,21.995,-3.7104
23.271,-10.708,-7.237,2.433,,22.231,-3.7644
23.521,-10.668,-7.405,2.423,,22.468,-3.8052
23.771,-10.631,-7.568,2.423,,22.704,-3.8460
24.021,-10.620,-7.725,2.437,,22.941,-3.9408
24.271,-10.654,-7.834,2.452,,23.177,-3.9948
24.521,-10.703,-7.938,2.452,,23.414,-4.0632
24.771,-10.726,-8.035,2.444,,23.650,-4.1172
25.021,-10.726,-8.113,2.447,,23.887,-4.1856
25.271,-10.745,-8.174,2.455,,24.123,-4.2396
25.521,-10.861,-8.259,2.454,,24.360,-4.3068
25.771,-11.114,-8.308,2.444,,24.596,-4.3752
26.021,-11.418,-8.311,2.436,,24.833,-4.4160
26.271,-11.680,-8.309,2.423,,25.069,-4.4832
26.521,-11.937,-8.313,2.405,,25.306,-4.5108
26.771,-12.227,-8.315,2.397,,25.542,-4.5780
27.021,-12.534,-8.330,2.395,,25.779,-4.6332
27.271,-12.816,-8.353,2.402,,26.015,-4.7004
27.521,-13.058,-8.416,2.407,,26.252,-4.7412
27.771,-13.278,-8.454,2.417,,26.488,-4.8096
28.021,-13.461,-8.472,2.415,,26.725,-4.8768
28.271,-13.560,-8.437,2.395,,26.961,-4.9308
28.521,-13.553,-8.442,2.375,,27.198,-4.9992
